URL,Category,Series,Prod_Name,Prod_ID,Short_Description,Long_Descriptio,Features & Benefits,Specifications,Product Details,Documents
https://www.heil-hvac.com/en/us/products/fan-coils/fma4x/,Fan Coils,Value,Performance Multi-Family Home Fan Coil,FMA4X,This high-efficiency multi-speed fan coil is designed for vertical applications and installation in tight spaces. It works with outdoor units to deliver high-efficiency operation and more comfort options.,,High-efficiency multi-speed fan blower that can quietly deliver more even levels of temperature|All aluminum coil for enhanced corrosion resistance|Efficiency-optimizing Thermostatic Expansion Valve (TXV) |Vertical (upflow) applications|Fully insulated cabinet|Corrosion-free sloped drain pan design helps reduce mold and bacteria buildup|10-year parts limited warranty*,,{'Fan Speed': 'Efficient Multi-Speed Fan'},
https://www.heil-hvac.com/en/us/products/air-conditioners/performance-14-coastal-design-central-air-conditioner/,Air Conditioners,Value,Performance 14 Coastal Design Central Air Conditioner,N4A4**C,"When you're enjoying another beautiful day on the coast, it's easy to forget that corrosive airborne pollutants common in your area can be brutal to your air conditioner. That's why we offer a unit developed specifically to protect its components against the harsh conditions found in coastal regions. This durable air conditioner delivers corrosion-resistant comfort and 14 SEER efficiency.","{'Single-stage compressor': 'Single-stage compressor operation', 'Single-speed fan': 'Single-speed fan motor', 'Weather and debris protection': 'Durably built to withstand bad weather and debris', 'Durable design for lasting performance': 'Designed specifically for the salt air environment of coastal regions for lasting performance'}",Quiet performance (| 72 decibels)*|Single-stage compressor operation|Designed specifically for the salt air environment of coastal regions for lasting performance|Durably built to withstand bad weather and debris|10-Year Parts Limited Warranty,"Efficient, single-stage scroll compressor |Single-speed fan motor|Full coverage powder coat paint over galvanized steel and epoxy-phenolic fins for better protection against harsh coastal climates|System protecting filter drier|Durable, protective inlet grille panels allow easy coil cleaning|Compatible with most cooling thermostats|Non-ozone depleting R-410A refrigerant|Cooling capacity: 1.5–5 tons","{'Efficiency Rating': 'Up to 14 SEER cooling / Up to 11.5 EER cooling', 'Sound level': 'As low as 72 decibels', 'Communicating Capability': 'Wi-Fi® enabled remote access with the Ion™ System Control', 'Parts Warranty': '10-Year Parts Limited Warranty±', 'Fan Motor': 'Single-speed fan motor', 'Compressor': 'Single-stage compressor operation', 'Cooling capacity': '1.5–5 tons', 'Refrigerant': 'Non-ozone depleting R-410A'}",
https://www.heil-hvac.com/en/us/products/oil-furnaces/performance-85-low-boy-oil-furnace/,Oil Furnaces,Value,Performance 85 Low Boy Oil Furnace,OLF,Get lasting performance and warming comfort from our efficient and affordable oil furnace that comes with an AFUE rating of 85.1%. This furnace is designed for installation in compact spaces and can be paired with a compatible heat pump and thermostat for energy-saving dual fuel comfort.,,"Quiet performance|Fixed blower motor provides consistent comfort|Dual fuel capable with a compatible heat pump and thermostat for energy-saving heating performance|Accepts high-performance Beckett or Riello burners|Sturdy, insulated steel cabinet helps manage sound levels|Air purifier and humidifier compatible for better home air quality|Designed for corrosion resistance and lasting performance|10-Year Parts Limited Warranty*|Lifetime Heat Exchanger Limited Warranty",,"{'AFUE Efficiency': 'Up to 85.1% AFUE', 'Heat Exchanger Warranty': 'Lifetime Heat Exchanger Limited Warranty'}",
https://www.heil-hvac.com/en/us/products/oil-furnaces/performance-86-oil-furnace-2/,Oil Furnaces,Value,Performance 86 Oil Furnace,OUF,Efficiency and affordability come together in one package with our oil furnace that offers an impressive AFUE rating of 86%. The fixed-speed operation allows for consistent temperatures and comfort to keep you cozy all winter long. Pair this model with a compatible heat pump and thermostat for energy-saving dual fuel comfort.,,,,"{'AFUE Efficiency': 'Up to 86% AFUE', 'Heat Exchanger Warranty': 'Lifetime Heat Exchanger Limited Warranty'}",
https://www.heil-hvac.com/en/us/products/evaporator-coils/eam4x/,Evaporator Coils,,Performance Evaporator Coil,EAM4X,Get the most comfort out of your air conditioner or heat pump with an evaporator coil that matches your outdoor unit. This multi-position A coil supports your system efficiency. It features durable all-aluminum construction designed to fit your system and deliver lasting performance.,,Cased A coil design for efficient heat transfer in a compact size|Efficiency-optimizing Thermostatic Expansion Valve (TXV)|Corrosion-resistant all-aluminum coil|Fully insulated cabinet|Corrosion-free sloped drain pan design helps reduce mold and bacterial buildup|10-year parts limited warranty*,Thermostatic Expansion Valve (TXV)|Multi-position airflow design|Sturdy galvanized steel cabinet|Non-ozone-depleting R-410A refrigerant|Capacity: 1.5 - 5 tons,"{'Capacity': '1.5 - 5 tons', 'Flow Design': 'Multi-position airflow design', 'Shape': 'Cased A coil design for efficient heat transfer in a compact size', 'Parts Warranty': '10-Year Parts Limited Warranty'}",
https://www.heil-hvac.com/en/us/products/heat-pumps/performance-14-heat-pump/,Heat Pumps,Value,Performance 14 Heat Pump,N4H4,"Now you can get the reliable comfort you want with the budget-friendly heat pump that gets a 14 SEER cooling rating. It features a single-stage scroll compressor for quiet electric heating and cooling. Use it year round in warmer climates, or pair it with a compatible gas furnace and thermostat to gain dual fuel heating efficiency in colder climates.",,,"Single-stage scroll compressor|Single-speed fan motor|System protecting highand low-pressure switches and filter drier|Durable, protective inlet grille panels allow easy coil cleaning|Baked-on powder coat finish over galvanized steel|Compatible with humidity sensing thermostats|Non-ozone depleting R-410A refrigerant|Cooling capacity: 1.5–5 tons","{'Efficiency Rating': '14 SEER / Up to 11.5 EER cooling', 'Sound level': 'As low as 69 decibels', 'Parts Warranty': '10-Year Parts Limited Warranty±', 'Fan Motor': 'Single-speed fan motor', 'Compressor': 'Single-stage compressor operation', 'Refrigerant': 'Non-ozone depleting R-410A', 'Cooling capacity': '1.5–5 tons'}",
https://www.heil-hvac.com/en/us/products/gas-furnaces/performance-92-gas-furnace-n92esn/,Gas Furnaces,Value,Performance 92 Gas Furnace,N92ESN,"Bask in the warmth of our efficient gas furnace that won’t break the bank. Its reliable single-stage operation and fixed speed blower provide even levels of temperature control for your comfort. Designed to deliver heat with an affordable price tag, it offers an up to 92% AFUE rating that may significantly increase efficiency over older models.",,Single-stage operation and fixed speed blower motor for even levels of temperature control and comfort|Dual fuel capable with a compatible heat pump and thermostat for energy-saving heating performance|Air purifier and humidifier compatible|High temperature limit control prevents overheating|10-Year Parts Limited Warranty upon timely registration|20-Year Heat Exchanger Limited Warranty,"Efficient multi-speed ECM blower motor|Single speed induced draft combustion motor|Single-stage gas valve|RPJ| (Rigid Press Joint) primary heat exchanger, stainless steel secondary heat exchanger|Reliable direct spark gas ignition|Sound-reducing features: soft mounted blower and inducer motor|Compatible thermostat: heat/cool|Heating capacity: 40,000–120,000 BTUh","{'Efficiency Rating': 'Up to 92.1% AFUE', 'Heat Exchanger Warranty': '20-Year Heat Exchanger Limited Warranty', 'Parts Warranty': '10-Year Parts Limited Warranty', 'Blower Motor': 'Single-stage operation and fixed speed blower motor for even levels of temperature control and comfort', 'Heating capacity': '40,000–120,000 BTUh', 'Operation': 'Single-stage operation'}",
https://www.heil-hvac.com/en/us/products/gas-furnaces/performance-80-gas-furnace-n80esn/,Gas Furnaces,Value,Performance 80 Gas Furnace,N80ESN,"As part of a complete, year-round comfort system, this single-speed furnace can be setup to deliver optimized airflow to your living spaces with our discrete tapped blower.",,Quiet performance|Multi-speed blower motor and single-stage gas valve also provide even levels of temperature control and comfort|Dual fuel capable with a compatible heat pump and thermostat for energy-saving heating performance|Low NOx models available (N80ESL)|Air purifier and humidifier compatible|10-Year Parts Limited Warranty upon timely registration|20-Year Heat Exchanger Limited Warranty,"Efficient multi-speed ECM blower motor|Induced draft combustion motor|Single-stage gas valve|RPJ| (Rigid Press Joint) primary heat exchanger|Reliable direct spark gas ignition|High temperature limit control helps prevent overheating|Sound-reducing features: soft mounted blower and inducer motor|Compatible thermostat: heat/cool|Heating capacity:30,000–155,000 BTUh","{'Efficiency Rating': '80% AFUE', 'Emissions': 'Ultra Low NOx Emissions', 'Heat Exchanger Warranty': '20-Year Heat Exchanger Limited Warranty', 'Parts Warranty': '10-Year Parts Limited Warranty upon timely registration+', 'Blower Motor': 'Multi-speed blower motor and single-stage gas valve also provide even levels of temperature control and comfort', 'Heating capacity': '30,000–155,000 BTUh', 'Operation': 'Single-stage operation'}",
https://www.heil-hvac.com/en/us/products/ductless-systems/dlflda/,Ductless Systems,Commercial,QuietComfort® Light Commercial Ducted Indoor Unit,DLFLDA,"Our new light commercial Ducted indoor model is a powerhouse unit that comes in three sizes and five cooling and heating modes. Additionally, this unit is super quiet and comes equipped with features like",,"Available in 208/230V|Sizes: 36 / 48 / 58|Modes: Cool, Heat, Dry, Fan, Auto|Vertical (sizes 36 & 48) or horizontal installation|Up to 0.8 in WG|Rear or bottom return|Outside air intake|Built-in condensate lift pump|Follow Me (senses temperature at handheld remote)|Heating Setback (46° F Heating Mode)|Quiet indoor operation, as low as 38.5 dB(A)|Anti-corrosive fin coating|10-Year Parts Limited Warranty",sound: as low as 38.5 decibels|3.0 – 5.0 Ton|208/230V,{},
https://www.heil-hvac.com/en/us/products/evaporator-coils/enh4x/,Evaporator Coils,,Performance Evaporator Coil,ENH4X,Get the most comfort out of your air conditioner or heat pump with an evaporator coil that matches your outdoor unit. This horizontal N coil supports your system efficiency and is made for horizontal applications. It features durable all-aluminum construction designed to fit your system and deliver lasting performance.,,Cased N coil design for efficient heat transfer in a compact size|Efficiency-optimizing Thermostatic Expansion Valve (TXV)|Corrosion-resistant all-aluminum coil|Fully insulated cabinet|Corrosion-free sloped drain pan design helps reduce mold and bacterial buildup|10-year parts limited warranty*,Thermostatic Expansion Valve (TXV)|Horizontal airflow design|Sturdy galvanized steel cabinet|Non-ozone-depleting R-410A refrigerant|Capacity: 2 - 5 tons,"{'Capacity': '2 - 5 tons', 'Flow Design': 'Horizontal airflow design', 'Shape': 'Cased N coil design for efficient heat transfer in a compact size', 'Parts Warranty': '10-Year Parts Limited Warranty'}",
https://www.heil-hvac.com/en/us/products/ductless-systems/dlceraa/,Ductless Systems,Value,Performance Air Conditioner,DLCERAA,"With its industry leading features, solid SEER and EER ratings, and quiet operation, this performance air conditioner is the perfect solution for a host of applications. Features like Auto-restart Function, Refrigerant Leakage Detection and Condenser High-Temperature Protection help make this air conditioner a real powerhouse at the right price.",,"Inverter Compressor|Up to 17.0 SEER cooling efficiency|Up to 11.2 EER heating efficiency|Available in 115V and 208/230V|Sizes: 12 / 18 / 24|Cost competitive|Auto-restart function|Condenser high-temperature protection|Refrigerant leakage detection|Quiet outdoor operation, as low as 52 dB(A)|Anti-corrosive fin coating|10-Year Parts Limited Warranty","Up to 17.0 SEER|Up to 11.2 EER|Outdoor sound: as low as 52 decibels|Cooling operating range 0°~122 ° F (-17°~50° C)|Total piping length 82~164 ft. (25-50m)|Inverter Compressor|1.0 – 2.0 Ton|115V and 208/230V|Heavy-gauge, galvanized steel construction|Primed and coated with a 100% coverage, baked-enamel finish in white",{'Efficiency': 'Up to 17.0 SEER'},
https://www.heil-hvac.com/en/us/products/ductless-systems/dlflca/,Ductless Systems,Commercial,QuietComfort® Light Commercial Cassette Indoor Unit,DLFLCA,This light commercial Cassette unit combines efficient comfort with the industry leading features customers want. Features like,,"Available in 208/230V|Sizes: 36 / 48|Modes: Cool, Heat, Dry, Fan, Auto|Auto-restart function|Louver control (fixed or swing)|Three fan speeds|Outside air intake|Built-in condensate lift pump|Follow Me (senses temperature at handheld remote)|Heating Setback (46° F Heating Mode)|Quiet indoor operation, as low as 27 dB(A)|Anti-corrosive fin coating|Grille/ceiling panel 3' x 3' P/N KSALG0201AAA|10-Year Parts Limited Warranty","sound: as low as 49 decibels|3.0 – 4.0 Ton|208/230V|Attractively styled, high−impact polystyrene.",{},
https://www.heil-hvac.com/en/us/products/ductless-systems/dlfehah/,Ductless Systems,Value,Performance High Wall Indoor Unit,DLFEHAH,"The new High Wall indoor unit brings together the high efficiency heating and cooling performance you need combined with the attractive styling you want. Available in 115V and 208/230V, this High Wall unit comes equipped with four modes, Cool, Heat, Dry, Fan and Auto. This state of the art unit comes equipped with industry leading features such as",,"Available in 115V and 208/230V|Sizes: 09 / 12 / 18 / 24|Modes: Cool, Heat, Dry, Fan, Auto|Turbo Mode|Four fan speeds|Sleep Mode|ECO Mode|Up-down louver control (fixed or swing)|Follow Me (senses temperature at handheld remote)|Heating Setback (46° F Heating Mode)|Quiet indoor operation, as low as 25 dB(A)|Anti-corrosive fin coating|10-Year Parts Limited Warranty","sound: as low as 25 decibels|0.75 – 2.0 Ton|115V and 208/230V|Attractively styled, high−impact polystyrene.",{},
https://www.heil-hvac.com/en/us/products/ductless-systems/dlclra/,Ductless Systems,Commercial,QuietComfort® Light Commercial Heat Pump,DLCLRA,This light commercial ductless heat pump is a powerhouse unit with up to 17.4 SEER cooling and 10.0 EER heating efficiency. Features like Refrigerant Leakage Protection and Condenser High-Temperature Protection make this unit smart as well as efficient.,,"Inverter Compressor|Up to 17.4 SEER cooling efficiency|Up to 10.0 EER heating efficiency|Available in 208/230V|Sizes: 36 / 48 / 58|Built-in basepan heater|Condenser high-temperature protection|Refrigerant leakage detection|Quiet outdoor operation, as low as 62.5 dB(A)|Anti-corrosive fin coating|10-Year Parts Limited Warranty","Up to 17.4 SEER|Up to 10.0 EER|Up to 10.5 HSPF|Outdoor sound: as low as 62.5 decibels|Cooling operating range -13° ~ 122° F (-25° ~ 50° C)|Heating operating range -22°~86° F (-30°~30° C)|Piping length 213 ft. (65 m)|Inverter Compressor|3.0 – 5.0 Ton|208/230V|Heavy-gauge, galvanized steel construction|Primed and coated with a 100% coverage, baked-enamel finish in white","{'Efficiency': 'Up to 17.4 SEER', 'Heating Efficiency': 'Up to 10.5 HSPF'}",
