URL,Category,Subcategory,Prod_Name,Prod_ID,Brand,Specifications,Videos,FeaturesAndBenefits,Images
https://www.protoindustrial.com/en/industrial-tools/Proto/Tethered-Tools/System-Sets/JBELTSET-M_Proto%c2%ae-Tethering-Medium-Comfort-Belt-Set-with-(2)-Belt-Adapter-(JBELTAD2)-and-D-Ring-Wrist-Strap-System-(2)-JWS-DR-and-(2)-JLANWR6LB/,Tethered Tools,System Sets,Proto® Tethering Medium Comfort Belt Set with (2) Belt Adapter (JBELTAD2) and D-Ring Wrist Strap System (2) JWS-DR and (2) JLANWR6LB,JBELTSET-M,Proto,{'Size [in]': '28-40'},,Double lock security.|Industrial and secure buckle.|Cushion webbed lining for comfort.|Multiple loops for customization.|Non absorbing and resist stretching.|Completely forged D-Ring.|Thick nylon webbing.|Extra large D-Ring.|Reinforced elastic fabric for safe but comfortable wrist control.|All metal components to provide strong protection.,"[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/jbeltcm-l.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/jbeltcm-l.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/jbeltcm-l.png'}, {'Item_Image': 'http://www.protoindustrial.com/images/52x52/jbeltcm-m.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/jbeltcm-m.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/jbeltcm-m.png'}]"
https://www.protoindustrial.com/en/industrial-tools/StanleyTools/Screwdrivers-%26-Hex-Keys/Torx-Key-Sets/95-961_STANLEY%c2%ae-8-Piece-Star-Folding-Star-Key-Set/,Screwdrivers & Hex Keys,Torx Key Sets,STANLEY® 8 Piece Star Folding Star Key Set,95-961,Stanley,"{'Style': 'Folding', 'Piece Count': '8', 'Tips': 'Star'}",,Durable composite construction.|Comfortable over-molded grip.|Compact self-storing tool.|Chrome vanadium steel hex keys fold out and lock into place.|Unique design offers leverage in hand while in use.,"[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/95-961.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/95-961.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/95-961.png'}]"
https://www.protoindustrial.com/en/industrial-tools/StanleyTools/Drive-Tools-%26-Accessories/Socket-Holders/b748baf0-a5e7-48ba-a80e-a31501123773_STANLEY%c2%ae-Socket-Holders/94-964_STANLEY%c2%ae-3%7c8%22-Drive-Socket-Holder/,Drive Tools & Accessories,Socket Holders,"STANLEY® 3/8"" Drive Socket Holder",94-964,Stanley,"{'Drive Size [in]': '3/8', 'Finish': 'Full Polish'}",,Chrome Vanadium steel forging for durability and high torque.|Full polish plating for anti-corrosion protection and easy cleaning.|Securely holds 16 sockets.,"[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/94-964.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/94-964.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/94-964.png'}]"
https://www.protoindustrial.com/en/industrial-tools/StanleyTools/Drive-Tools-%26-Accessories/Socket-Holders/b748baf0-a5e7-48ba-a80e-a31501123773_STANLEY%c2%ae-Socket-Holders/94-965_STANLEY%c2%ae-1%7c2%22-Drive-Socket-Holder/,Drive Tools & Accessories,Socket Holders,"STANLEY® 1/2"" Drive Socket Holder",94-965,Stanley,"{'Drive Size [in]': '1/2', 'Finish': 'Full Polish'}",,Chrome Vanadium steel forging for durability and high torque.|Full polish plating for anti-corrosion protection and easy cleaning.|Securely holds 16 sockets.,"[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/94-965.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/94-965.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/94-965.png'}]"
https://www.protoindustrial.com/en/industrial-tools/StanleyTools/Wrenches/Pipe-%26-Chain-Wrenches/5c71f1ab-f693-4e97-a815-cc1d33ee2710_Stanley%c2%ae-Pipe-Wrenches/87-624_STANLEY%c2%ae-Pipe-Wrench-14%22/,Wrenches,Pipe &amp; Chain Wrenches,"STANLEY® Pipe Wrench 14""",87-624,Stanley,"{'Finish': 'Cast Iron', 'Size [in]': '14', 'Overall Length [in]': '15-1/2', 'Maximum Opening [in]': '2-3/4'}",,Durable heavy-duty cast-iron housing.|Strong I-beam handle design withstands high torque.|Floating hook jaw design allows ratcheting function.|Durable drop-forged hook jaw for long life.,"[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/87-624.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/87-624.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/87-624.png'}, {'Item_Image': 'http://www.protoindustrial.com/images/52x52/87-624.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/87-624.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/87-624.png'}]"
https://www.protoindustrial.com/en/industrial-tools/StanleyTools/Pliers%2c-Snips-%26-Clamps/Wire-Strippers/84-199_STANLEY%c2%ae-Wire-Stripper-%7c-Cutter-%7c-Crimper-8-1%7c2%22/,"Pliers, Snips & Clamps",Wire Strippers,"STANLEY® Wire Stripper / Cutter / Crimper 8-1/2""",84-199,Stanley,{'Overall Length [in]': '8-7/16'},,Cuts up to five sizes of bolts.|Oil-resistant dipped handle allows for a comfortable grip.|Capacity: 10 to 26 gauge stranded wire; 8 to 22 gauge solid wire; 10 to 26 gauge insulated terminals; 10 to 22 gauge non-insulated terminals.|Meets ANSI specifications.,"[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/84-199.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/84-199.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/84-199.png'}]"
https://www.protoindustrial.com/en/industrial-tools/StanleyTools/Striking-%26-Struck/Nail-Sets/58-013_STANLEY%c2%ae-Self-Centering-Screw-Hole-Punch/,Striking & Struck,Nail Sets,STANLEY® Self-Centering Screw Hole Punch,58-013,Stanley,"{'Overall Length [in]': '3-1/16', 'Face Diameter': '3/8'}",,Ideal for self-centering of hinges and catches.|Nickel-plated for long life.,"[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/58-013.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/58-013.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/58-013.png'}]"
https://www.protoindustrial.com/en/industrial-tools/StanleyTools/Drive-Tools-%26-Accessories/Socket-Holders/b748baf0-a5e7-48ba-a80e-a31501123773_STANLEY%c2%ae-Socket-Holders/94-963_STANLEY%c2%ae-1%7c4%22-Drive-Socket-Holder/,Drive Tools & Accessories,Socket Holders,"STANLEY® 1/4"" Drive Socket Holder",94-963,Stanley,"{'Drive Size [in]': '1/4', 'Finish': 'Full Polish'}",,Chrome Vanadium steel forging for durability and high torque.|Full polish plating for anti-corrosion protection and easy cleaning.|Securely holds 16 sockets.,"[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/94-963.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/94-963.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/94-963.png'}]"
https://www.protoindustrial.com/en/industrial-tools/StanleyTools/Wrenches/Pipe-%26-Chain-Wrenches/5c71f1ab-f693-4e97-a815-cc1d33ee2710_Stanley%c2%ae-Pipe-Wrenches/87-622_STANLEY%c2%ae-Pipe-Wrench-10%22/,Wrenches,Pipe &amp; Chain Wrenches,"STANLEY® Pipe Wrench 10""",87-622,Stanley,"{'Finish': 'Cast Iron', 'Size [in]': '10', 'Overall Length [in]': '9-3/4', 'Maximum Opening [in]': '2'}",,Durable heavy-duty cast-iron housing.|Strong I-beam handle design withstands high torque.|Floating hook jaw design allows ratcheting function.|Durable drop-forged hook jaw for long life.,"[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/87-622.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/87-622.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/87-622.png'}, {'Item_Image': 'http://www.protoindustrial.com/images/52x52/87-622.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/87-622.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/87-622.png'}]"
https://www.protoindustrial.com/en/industrial-tools/StanleyTools/Measuring-%26-Layout/Electronic-Tools/STHT77404_STANLEY%c2%ae-Stud-Sensor-150/,Measuring & Layout,Electronic Tools,STANLEY® Stud Sensor 150,STHT77404,Stanley,"{'Height [in]': '1-3/8', 'Overall Length [in]': '5-3/4', 'Width [in]': '2-7/8'}",,"Wood and metal stud detection through up to 1-1/2"" below surface material.|AC detection identifies live wires up to 2"" deep.|Sequential LEDs and audible beeps indicates reading.|Marking channel with LED identifies target and makes marking surfaces easy and accurate.|Ergonomic design and soft grip buttons provide comfort and control.","[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/stht77404_1.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/stht77404_1.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/stht77404_1.png'}, {'Item_Image': 'http://www.protoindustrial.com/images/52x52/stht77404.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/stht77404.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/stht77404.png'}]"
https://www.protoindustrial.com/en/industrial-tools/StanleyTools/Cutting-Tools/Specialty-Saws/15-275_STANLEY%c2%ae-4-Way-Keyhole-Saw/,Cutting Tools,Specialty Saws,STANLEY® 4-Way Keyhole Saw,15-275,Stanley,,,"4-WAY blade positioning cuts curves, circles, and frets into places where ordinary hacksaws cannot reach.|Cuts wood, nails, metal lath, composition board, BX cable, conduit, and more.|Lightweight, pistol-grip handle.|Comes with one wood-cutting blade and one metal-cutting blade.","[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/15-275_02.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/15-275_02.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/15-275_02.png'}, {'Item_Image': 'http://www.protoindustrial.com/images/52x52/15-275.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/15-275.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/15-275.png'}]"
https://www.protoindustrial.com/en/industrial-tools/StanleyTools/Cutting-Tools/Specialty-Saws/15-333_STANLEY%c2%ae-Folding-Pocket-Saw/,Cutting Tools,Specialty Saws,STANLEY® Folding Pocket Saw,15-333,Stanley,,,"Saw blade made of steel.|Coated blade for corrosion protection.|Handle is made of high impact polypropylene with textured grip to provide a slip-resistant grip.|Folds like a jack knife for safe, easy storage.|Accepts standard and reciprocating blades.","[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/15-333_02.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/15-333_02.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/15-333_02.png'}, {'Item_Image': 'http://www.protoindustrial.com/images/52x52/15-333.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/15-333.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/15-333.png'}]"
https://www.protoindustrial.com/en/industrial-tools/StanleyTools/Cutting-Tools/Hacksaws/20-001K_STANLEY%c2%ae-High-Tension-Low-Profile-Hacksaw-12%22/,Cutting Tools,Hacksaws,"STANLEY® High Tension Low Profile Hacksaw 12""",20-001K,Stanley,,,"Arc-shaped frame enables cutting in hard-to-reach areas.|4"" throat depth cuts large PVC pipes.|Heavy-duty, lightweight, die-cast aluminum I-beam frame provides strength and durability.|Ergonomically designed handle for comfortable use.|Tension knob makes blade tension adjustment easy.|Hacksaw blade included (15-631): 1.","[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/20-001k_1.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/20-001k_1.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/20-001k_1.png'}, {'Item_Image': 'http://www.protoindustrial.com/images/52x52/20-001.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/20-001.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/20-001.png'}]"
https://www.protoindustrial.com/en/industrial-tools/StanleyTools/Cutting-Tools/Retractable-Utility-Knives/10-989_STANLEY%c2%ae-Swivel-Lock%c2%ae-Retractable-Blade-Utility-Knife/,Cutting Tools,Retractable Utility Knives,STANLEY® Swivel-Lock® Retractable Blade Utility Knife,10-989,Stanley,,,"Durable, all-metal knife body construction.|Knife body swivels open for quick blade change - no tools required.|Magnetic nose holds blade in place for stability during blade change.|Interlocking nose design helps secure blade and helps prevent body separation.|Blades Included (11-921): 3.|Retractable Blade Positions: 3.|Works with most standard utility blades.","[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/10-989_02.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/10-989_02.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/10-989_02.png'}, {'Item_Image': 'http://www.protoindustrial.com/images/52x52/10-989_1.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/10-989_1.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/10-989_1.png'}, {'Item_Image': 'http://www.protoindustrial.com/images/52x52/10-989.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/10-989.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/10-989.png'}]"
https://www.protoindustrial.com/en/industrial-tools/StanleyTools/Cutting-Tools/Fixed-Utility-Knives/10-209_STANLEY%c2%ae-Classic-199%c2%ae-Fixed-Blade-Utility-Knife-%e2%80%93-Zinc-Body/,Cutting Tools,Fixed Utility Knives,STANLEY® Classic 199® Fixed Blade Utility Knife – Zinc Body,10-209,Stanley,,,"Durable, all-metal zinc knife body construction.|Machine screw firmly holds knife body together - Screwdriver required for blade change.|Textured, die-cast body for better slip-resistance.|Comes with hang-hole for adding a wrist strap or lanyard.|Blades included (11-921): 3.|Fixed Blade Positions: 1.|Blade storage in handle.|Works with most standard utility blades.","[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/10-209_1.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/10-209_1.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/10-209_1.png'}, {'Item_Image': 'http://www.protoindustrial.com/images/52x52/10-209.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/10-209.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/10-209.png'}]"
https://www.protoindustrial.com/en/industrial-tools/StanleyTools/Cutting-Tools/Fixed-Utility-Knives/10-780_STANLEY%c2%ae-FATMAX%c2%ae-Fixed-Blade-Utility-Knife/,Cutting Tools,Fixed Utility Knives,STANLEY® FATMAX® Fixed Blade Utility Knife,10-780,Stanley,,,Specially designed for repetitive cutting applications.|Magnetic nose holds blade in place for stability during blade change.|Blade clamp to reduce blade wobble for added control.|Steel wear plate for longer life and reduced wear on the nose of the knife.|Blade storage holds up to 5 blades.|Thermoplastic Rubber (TPR) soft touch panels and grips for better control and fewer slips.|Thumb pad and ergonomically designed cutting angle for more comfortable use.|Supplied with 5 (11-700) FatMax® blades.|Works with most standard utility blades.,"[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/10-780_2.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/10-780_2.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/10-780_2.png'}, {'Item_Image': 'http://www.protoindustrial.com/images/52x52/10-780_3.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/10-780_3.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/10-780_3.png'}, {'Item_Image': 'http://www.protoindustrial.com/images/52x52/10-780_02.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/10-780_02.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/10-780_02.png'}, {'Item_Image': 'http://www.protoindustrial.com/images/52x52/10-780.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/10-780.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/10-780.png'}, {'Item_Image': 'http://www.protoindustrial.com/images/52x52/10-780_1.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/10-780_1.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/10-780_1.png'}]"
https://www.protoindustrial.com/en/industrial-tools/StanleyTools/Cutting-Tools/Fixed-Utility-Knives/10-299_STANLEY%c2%ae-299%c2%ae-Fixed-Blade-Utility-Knife/,Cutting Tools,Fixed Utility Knives,STANLEY® 299® Fixed Blade Utility Knife,10-299,Stanley,,,"Durable, all-metal knife body construction.|Machine screw firmly holds knife body together - Screwdriver required for blade change.|Contoured handle and textured, die-cast body for slip-resistance.|Interlocking nose design helps secure blade and helps prevent body separation.|Comes with hang-hole for adding a wrist strap or lanyard.|Blades Included (11-921): 1.|Fixed Blade Positions: 2.|Works with most standard utility blades.","[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/10-299_02.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/10-299_02.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/10-299_02.png'}, {'Item_Image': 'http://www.protoindustrial.com/images/52x52/10-299_1.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/10-299_1.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/10-299_1.png'}, {'Item_Image': 'http://www.protoindustrial.com/images/52x52/10-299.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/10-299.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/10-299.png'}]"
